Species,FbSpecCode,Order,Family
Fenerbahce formosus,9705,Cyprinodontiformes,Nothobranchiidae
Fibramia lateralis,5761,Kurtiformes,Apogonidae
Foa brachygramma,5742,Kurtiformes,Apogonidae
Foerschichthys flavipinnis,9848,Cyprinodontiformes,Nothobranchiidae
Fontitrygon garouaensis,10803,Myliobatiformes,Dasyatidae
Fontitrygon ukpam,8968,Myliobatiformes,Dasyatidae
Fossorochromis rostratus,2270,Cichliformes,Cichlidae
Fundulopanchax amieti,9708,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax arnoldi,9709,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax avichang,59921,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax cinnamomeus,9725,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax clauseni,67241,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax deltaensis,54029,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax fallax,54026,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax filamentosus,9736,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax gardneri,9739,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax gresensi,62245,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax gularis,9743,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax intermittens,63218,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax kamdemi,63491,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax lacustris,56565,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax mamfensis,56567,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax marmoratus,9758,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax mirabilis,9767,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax moensis,63216,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax ndianus,9769,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax oeseri,9774,Cyprinodontiformes,Nothobranchiidae
Fundulopanchax powelli,49699,Cyprinodontiformes,Nothobranchiidae
