speciesName	status	fbSpecCode	validName	class	order	family	genus	commonName	commonSpecies
Leptocephalus lanceolatus	synonym	7477	Serrivomer beanii	Teleostei	Anguilliformes	Serrivomeridae	Serrivomer	Stout sawpalate	TRUE
Leptocephalus latissimus	synonym	9109	Saccopharynx ampullaceus	Teleostei	Saccopharyngiformes	Saccopharyngidae	Saccopharynx	Gulper eel	TRUE
Leptocephalus lineatus	synonym	301	Conger conger	Teleostei	Anguilliformes	Congridae	Conger	European conger	TRUE
Leptocephalus longirostris	synonym	1739	Nettastoma melanura	Teleostei	Anguilliformes	Nettastomatidae	Nettastoma	Blackfin sorcerer	TRUE
Leptocephalus maculatus	synonym	12619	Heteroconger hassi	Teleostei	Anguilliformes	Congridae	Heteroconger	Spotted garden-eel	TRUE
Leptocephalus marginatus	synonym	1744	Ariosoma balearicum	Teleostei	Anguilliformes	Congridae	Ariosoma	Bandtooth conger	TRUE
Leptocephalus mauritianum	synonym	7671	Ariosoma mauritianum	Teleostei	Anguilliformes	Congridae	Ariosoma	Blunt-tooth conger	TRUE
Leptocephalus mauritianus	synonym	7671	Ariosoma mauritianum	Teleostei	Anguilliformes	Congridae	Ariosoma	Blunt-tooth conger	TRUE
Leptocephalus microphthalmus	synonym	1744	Ariosoma balearicum	Teleostei	Anguilliformes	Congridae	Ariosoma	Bandtooth conger	TRUE
Leptocephalus morrisii	synonym	301	Conger conger	Teleostei	Anguilliformes	Congridae	Conger	European conger	TRUE
Leptocephalus orbignyanus	synonym	299	Conger orbignianus	Teleostei	Anguilliformes	Congridae	Conger	Argentine conger	TRUE
Leptocephalus oxycephalus	synonym	5099	Avocettina infans	Teleostei	Anguilliformes	Nemichthyidae	Avocettina	Avocet snipe eel	TRUE
Leptocephalus oxyrhynchus	synonym	9071	Facciolella oxyrhynchus	Teleostei	Anguilliformes	Nettastomatidae	Facciolella	Facciola's sorcerer	TRUE
Leptocephalus pellucidus	synonym	301	Conger conger	Teleostei	Anguilliformes	Congridae	Conger	European conger	TRUE
Leptocephalus polymerus	synonym	9107	Nemichthys curvirostris	Teleostei	Anguilliformes	Nemichthyidae	Nemichthys	Pale threadtail snipe eel	TRUE
Leptocephalus pseudolatissimus	synonym	4526	Eurypharynx pelecanoides	Teleostei	Saccopharyngiformes	Eurypharyngidae	Eurypharynx	Pelican eel	TRUE
Leptocephalus rex	synonym	1744	Ariosoma balearicum	Teleostei	Anguilliformes	Congridae	Ariosoma	Bandtooth conger	TRUE
Leptocephalus scheelei	synonym	7672	Ariosoma scheelei	Teleostei	Anguilliformes	Congridae	Ariosoma	Tropical conger	TRUE
Leptocephalus similis	synonym	2608	Anarchias similis	Teleostei	Anguilliformes	Muraenidae	Anarchias	Pygmy moray	TRUE
Leptocephalus spallanzani	synonym	301	Conger conger	Teleostei	Anguilliformes	Congridae	Conger	European conger	TRUE
Leptocephalus splendens	synonym	9065	Pseudophichthys splendens	Teleostei	Anguilliformes	Congridae	Pseudophichthys	Purplemouthed conger	TRUE
Leptocephalus stenops	synonym	301	Conger conger	Teleostei	Anguilliformes	Congridae	Conger	European conger	TRUE
Leptocephalus taenia	synonym	1744	Ariosoma balearicum	Teleostei	Anguilliformes	Congridae	Ariosoma	Bandtooth conger	TRUE
Leptocephalus telescopicus	synonym	9101	Dysomma brevirostre	Teleostei	Anguilliformes	Synaphobranchidae	Dysomma	Pignosed arrowtooth eel	TRUE
Leptocephalus urosema	synonym	1739	Nettastoma melanura	Teleostei	Anguilliformes	Nettastomatidae	Nettastoma	Blackfin sorcerer	TRUE
