"speciesName","status","fbSpecCode","validName","class","order","family","genus","commonName","commonSpecies","Fresh","Brack"
"Silurus glanis","accepted name",289,"Silurus glanis","Teleostei","Siluriformes","Siluridae","Silurus","Wels catfish",TRUE,1,1
"Brachirus orientalis","accepted name",8312,"Brachirus orientalis","Teleostei","Pleuronectiformes","Soleidae","Brachirus","Oriental sole",TRUE,1,1
"Acanthopagrus berda","accepted name",5526,"Acanthopagrus berda","Teleostei","Eupercaria/misc","Sparidae","Acanthopagrus","Goldsilk seabream",TRUE,1,1
"Monopterus boueti","accepted name",9895,"Monopterus boueti","Teleostei","Synbranchiformes","Synbranchidae","Monopterus","Liberian swamp eel",TRUE,1,0
"Enneacampus ansorgii","accepted name",9889,"Enneacampus ansorgii","Teleostei","Syngnathiformes","Syngnathidae","Enneacampus",NA,TRUE,1,1
"Tanichthys albonubes","accepted name",4758,"Tanichthys albonubes","Teleostei","Cypriniformes","Tanichthyidae","Tanichthys","White cloud mountain minnow",TRUE,1,0
"Mesopristes elongatus","accepted name",7944,"Mesopristes elongatus","Teleostei","Centrarchiformes","Terapontidae","Mesopristes","Plain terapon",TRUE,1,1
"Chelonodontops patoca","accepted name",6610,"Chelonodontops patoca","Teleostei","Tetraodontiformes","Tetraodontidae","Chelonodontops","Milkspotted puffer",TRUE,1,1
"Tinca tinca","accepted name",269,"Tinca tinca","Teleostei","Cypriniformes","Tincidae","Tinca","Tench",TRUE,1,1
"Ctenopharyngodon idella","accepted name",79,"Ctenopharyngodon idella","Teleostei","Cypriniformes","Xenocyprididae","Ctenopharyngodon","Grass carp",TRUE,1,1
"Zenarchopterus dispar","accepted name",9648,"Zenarchopterus dispar","Teleostei","Beloniformes","Zenarchopteridae","Zenarchopterus","Feathered river-garfish",TRUE,1,1
